Patient_ID,Gender,City,Country,nombre,apellido1,apellido2,Age,altura_cm,peso_kg,dni,nuss
32,Male,Barcelona,Spain,Ramon,Moreno,Riera,32,169.1,63.2,92767813G,088459661470
33,Male,Barcelona,Spain,Pau,Medina,Rodriguez,28,173,92.6,99171551J,089498972115
34,Female,Barcelona,Spain,Laura,Ramirez,Pascual,86,160.8,65,55886224L,081996352925
35,Female,Barcelona,Spain,Silvia,Cruz,Martinez,63,158.4,64.6,84197445B,088363991784
36,Female,Barcelona,Spain,Marta,Rodriguez,Moreno,36,165.6,58.1,63111925V,088668363539
37,Female,Barcelona,Spain,Lucia,Delgado,Santos,41,155.8,58.7,28718920Q,084966000043
38,Male,Barcelona,Spain,Mario,Planellas,Vazquez,46,176.1,92.7,82426459W,082820884348
39,Female,Barcelona,Spain,Noelia,Jimenez,Flores,41,155.4,76.2,56374123L,081497990264
40,Female,Barcelona,Spain,Silvia,Roca,Jimenez,88,165.4,55.3,97856139V,085276911012
41,Female,Barcelona,Spain,Marta,Moreno,Dalmau,65,155.3,48.8,72312923A,084461338143
42,Female,Barcelona,Spain,Monica,Rubio,Ramos,26,168.6,66.4,51267130S,089413233007
43,Female,Barcelona,Spain,Teresa,Planellas,Cruz,31,169,68.6,70531573A,085958229110
44,Female,Barcelona,Spain,Lucia,Mendez,Pascual,65,158.7,67.9,40982194N,083800762180
45,Male,Barcelona,Spain,Ricardo,Vidales,Cortes,30,177.4,70.7,34892725T,089825733284
46,Female,Barcelona,Spain,Marina,Pascual,Cruz,90,155,52,86821734T,081749659895
47,Male,Barcelona,Spain,Manuel,Castro,Dominguez,43,172.3,77.4,41003723J,085500297766
48,Male,Barcelona,Spain,Eric,Marti,Roca,20,177.3,93.6,20123637V,084386135457
49,Male,Barcelona,Spain,Bernat,Sanz,Castro,60,169.6,63.4,96721262Y,084267667842
50,Female,Barcelona,Spain,Lorena,Torres,Riera,49,159.3,56,24717630J,086946567059
51,Male,Barcelona,Spain,Gonzalo,Cano,Torres,21,171.3,90,23587580E,084472725135
52,Male,Barcelona,Spain,Jose,Rodriguez,Ortiz,24,167.3,63.7,15568490C,084916566116
53,Male,Barcelona,Spain,Jordi,Prieto,Gisbert,61,167.9,85.6,64586705Z,083177264772
54,Male,Barcelona,Spain,Pedro,Gomez,Riera,70,187.2,101,61400288V,087082089601
55,Female,Barcelona,Spain,Irene,Rodriguez,Font,23,161.2,78.8,29206052P,086590914236
56,Female,Barcelona,Spain,Martina,Nuñez,Serrano,56,172.9,67,56378971Z,082342498839
57,Male,Barcelona,Spain,David,Gisbert,Blanco,78,174.1,69.1,39094132C,081433795260
58,Female,Barcelona,Spain,Mireia,Medina,Gomez,42,165.9,61,60846828Y,081010725821
59,Male,Barcelona,Spain,Vicente,Gomez,Martinez,58,179.3,75.7,72175193C,088250954452
60,Female,Barcelona,Spain,Lucia,Vidal,Navarro,18,169.7,68.1,54898829Z,088963962753
61,Male,Barcelona,Spain,Mario,Perez,Sanz,39,173.4,90.7,76187530F,084409732729
62,Female,Barcelona,Spain,Monica,Iglesias,Ramirez,70,155.6,53.3,26250845W,082145189119
63,Female,Barcelona,Spain,Marta,Alonso,Gisbert,28,166.8,77.5,70528641S,081398561628
64,Male,Barcelona,Spain,Marcos,Garcia,Vila,79,179.2,97.2,26456414C,081432890837
65,Female,Barcelona,Spain,Marta,Medina,Dominguez,90,158.4,78.2,29568292K,089470670848
66,Female,Barcelona,Spain,Teresa,Ruiz,Rubio,71,160.4,68.3,19666938Y,084891338234
67,Male,Barcelona,Spain,Jose Antonio,Gomez,Morales,29,178,86.5,29269006B,082776120969
68,Female,Barcelona,Spain,Carmen,Flores,Riera,22,162.8,56.6,97844229K,085434942604
69,Female,Barcelona,Spain,Carla,Rodriguez,Ferrer,73,162.1,76.4,65010485L,088529500662
70,Female,Barcelona,Spain,Berta,Ruiz,Santos,65,159.7,51.6,69047729G,086123758495
71,Male,Barcelona,Spain,Diego,Lopez,Ortiz,63,167.4,83.3,36823784W,082090196886
72,Male,Barcelona,Spain,Jose Luis,Suarez,Castillo,67,171.9,89.6,76858184G,081450361042
73,Female,Barcelona,Spain,Valeria,Ortega,Planellas,78,166.5,59.9,96573482R,082062296151
74,Male,Barcelona,Spain,Guillermo,Pascual,Perez,37,169.6,68.6,46223090J,084862312602
75,Male,Barcelona,Spain,Javier,Vazquez,Vazquez,26,174.6,89.7,42505316M,084333075447
76,Male,Barcelona,Spain,Sergio,Riera,Ortiz,68,176,88,14700099V,089889402771
77,Male,Barcelona,Spain,Roberto,Iglesias,Ramirez,56,178,67.8,61522312A,082431288090
78,Female,Barcelona,Spain,Laura,Rodriguez,Serrano,89,159.5,69.5,74259492J,083182688183
79,Male,Barcelona,Spain,Marcos,Nuñez,Prieto,84,184.8,94.5,24984723F,087436154957
80,Male,Barcelona,Spain,Carlos,Ramirez,Serrano,44,174,91.2,57617577R,084934297514
81,Female,Barcelona,Spain,Patricia,Planellas,Jimenez,76,166.6,60.3,55979502D,086360936128
82,Female,Barcelona,Spain,Raquel,Vazquez,Gomez,76,158.4,60,31720478M,081258184642
83,Female,Barcelona,Spain,Andrea,Castillo,Serra,30,165.1,54.6,67865573W,086036981689
84,Female,Barcelona,Spain,Elena,Cabrera,Marti,70,159.8,76.6,79296953Z,086246952034
85,Female,Barcelona,Spain,Laia,Perez,Medina,35,158.3,61.2,44712049A,089728740661
86,Female,Barcelona,Spain,Cristina,Molina,Riera,79,171.8,77.7,77394957A,084740119880
87,Female,Barcelona,Spain,Sofia,Castillo,Vazquez,23,162.3,74.8,31121184E,083866508073
88,Female,Barcelona,Spain,Aina,Ferrer,Vidal,82,165.4,86.5,19810916G,085969800095
89,Male,Barcelona,Spain,Oriol,Navarro,Cruz,29,163.1,77.8,24322072D,088076182377
90,Male,Barcelona,Spain,Fernando,Fernandez,Marti,66,183.9,97.4,48263972J,086987435684
91,Male,Barcelona,Spain,Jose,Torres,Gisbert,23,167.9,61.2,41567019Q,085689829908
92,Female,Barcelona,Spain,Ines,Alonso,Garcia,32,160.9,66.9,15955774F,081416163589
93,Female,Barcelona,Spain,Mireia,Gomez,Pascual,19,148.4,69.9,16727092C,089344379878
94,Female,Barcelona,Spain,Raquel,Dalmau,Cabrera,67,167.3,88.4,62158377A,087186786751
95,Female,Barcelona,Spain,Dolores,Dominguez,Ramos,61,158.6,72.8,49544821S,083612701614
96,Female,Barcelona,Spain,Angela,Bernat,Planellas,81,154,51,73042813B,088830161559
97,Female,Barcelona,Spain,Lorena,Suarez,Nuñez,32,162.3,81.7,81309861P,089130033827
98,Female,Barcelona,Spain,Montserrat,Morales,Garcia,80,154.2,59.4,75993556S,088515307340
99,Female,Barcelona,Spain,Julia,Marti,Planellas,37,160.4,65.4,19290388N,082513402028
100,Female,Barcelona,Spain,Sofia,Flores,Navarro,53,158.2,75.6,50691372Q,084542243722
101,Male,Barcelona,Spain,Alvaro,Font,Ferrer,45,190.4,95.9,68730724P,087415125357
102,Male,Barcelona,Spain,Xavier,Gomez,Roca,25,178.6,66.7,25172819D,082069212554
103,Male,Barcelona,Spain,Alejandro,Gomez,Castillo,46,177.9,79.9,26907067B,083120872612
104,Male,Barcelona,Spain,Miguel,Gomez,Navarro,21,177.3,70,72610829J,088376844082
105,Male,Barcelona,Spain,Manuel,Ortiz,Prieto,49,172.6,61.1,87272977Y,083773096366
106,Female,Barcelona,Spain,Maria,Cano,Santos,76,166.3,88.2,23995624T,089419091504
107,Female,Barcelona,Spain,Valeria,Marin,Vazquez,35,169.3,87.7,58478940Z,085103474709
108,Male,Barcelona,Spain,Juan,Castro,Ortiz,24,173.3,72.7,22427566J,084146353881
109,Male,Barcelona,Spain,Fernando,Vidales,Ferrer,80,177.8,84.4,22273611C,082311796319
110,Female,Barcelona,Spain,Miriam,Delgado,Planellas,25,172.1,62.3,68168928X,081036338164
111,Female,Barcelona,Spain,Patricia,Cruz,Castro,53,175.9,97.9,86510555B,085166790447
112,Male,Barcelona,Spain,Javier,Serrano,Dominguez,31,173.8,95.8,92166581S,089390503883
113,Female,Barcelona,Spain,Montserrat,Jimenez,Nuñez,79,162,61.2,42452884J,083992127925
114,Male,Barcelona,Spain,Jose Luis,Gisbert,Prieto,64,172.1,83.2,59707800F,086354012853
115,Male,Barcelona,Spain,Daniel,Morales,Nuñez,32,186.5,79.3,72321905S,085103454093
116,Female,Barcelona,Spain,Marta,Planellas,Ortiz,40,166.5,64.5,90452293D,081678117850
117,Male,Barcelona,Spain,Sergio,Castillo,Sanz,73,180.4,68.4,82566582D,083220598413
118,Male,Barcelona,Spain,Alejandro,Gomez,Soler,75,177.6,64,60426263L,083291239873
119,Female,Barcelona,Spain,Natalia,Perez,Rubio,86,173.2,64.8,66498832J,083141481775
120,Male,Barcelona,Spain,Pablo,Vila,Font,87,175.2,85.9,30817574N,087963777767
121,Female,Barcelona,Spain,Monica,Dominguez,Molina,80,157.4,71.4,77058043Q,088391317492
122,Female,Barcelona,Spain,Irene,Morales,Ferrer,68,163.8,61.4,75011311P,082623452871
123,Female,Barcelona,Spain,Martina,Ortega,Gil,30,158.9,77,10812525H,086710027408
124,Female,Barcelona,Spain,Noelia,Cruz,Ruiz,67,166,87.2,58051421L,081562068464
125,Female,Barcelona,Spain,Sara,Vazquez,Vidal,41,167.4,86.5,92426422W,082543759590
126,Female,Barcelona,Spain,Ana,Castillo,Dominguez,36,166.3,76.1,83984368Y,089702905622
127,Female,Barcelona,Spain,Irene,Cabrera,Sanz,79,156.7,71,98541619M,084929005758
128,Male,Barcelona,Spain,Guillermo,Gil,Roca,81,168.3,58.2,70368728K,089112573120
129,Male,Barcelona,Spain,Ivan,Cruz,Riera,51,179.5,95.2,20953904F,084729617410
130,Female,Barcelona,Spain,Noelia,Ortega,Castillo,69,167.8,63.2,67103048L,081763017506
131,Male,Barcelona,Spain,Jose Luis,Ortega,Fernandez,24,174.1,94.2,55747641B,087682973780
132,Female,Barcelona,Spain,Nuria,Bernat,Ortega,53,163.7,65.2,38863016P,085777438385
133,Male,Barcelona,Spain,Javier,Cano,Martinez,84,181,66.5,80086745D,089717736720
134,Male,Barcelona,Spain,Guillermo,Moreno,Martinez,59,168.5,76.7,32212553H,081980100270
135,Male,Barcelona,Spain,Pol,Castro,Ramos,79,194.7,114.4,59213687A,086527260513
136,Female,Barcelona,Spain,Rosa,Jimenez,Marin,62,162,58.2,83634424F,087332109828
137,Male,Barcelona,Spain,Luis,Pascual,Morales,72,163.3,68,59498475M,089366080091
138,Female,Barcelona,Spain,Sara,Martinez,Ortiz,87,169.4,89.7,37615354G,087440166919
139,Male,Barcelona,Spain,Raul,Ferrer,Serrano,42,178.5,78.4,92487600T,089445741545
140,Female,Barcelona,Spain,Raquel,Serra,Vidales,33,162.4,73.3,31692071A,082810936996
141,Female,Barcelona,Spain,Victoria,Marin,Vidal,74,162.7,66.4,68423963K,087293607393
142,Female,Barcelona,Spain,Carla,Martinez,Marti,65,157.5,57.3,73278500V,086832447367
143,Female,Barcelona,Spain,Angela,Gomez,Castro,34,156.3,50,37755845B,082867961276
144,Female,Barcelona,Spain,Mireia,Jimenez,Pascual,81,163.1,63.5,71628043V,081581297908
145,Female,Barcelona,Spain,Ines,Gomez,Sanchez,18,157.3,65.5,32941255B,081749680915
146,Male,Barcelona,Spain,Jose Luis,Riera,Delgado,18,177.3,82.1,47835371V,083489303062
147,Female,Barcelona,Spain,Natalia,Castillo,Navarro,22,162.7,84.6,46861538G,088423459656
148,Female,Barcelona,Spain,Alba,Prieto,Font,67,154.9,66.2,33878686P,084861676240
149,Male,Barcelona,Spain,Ricardo,Puig,Rubio,76,166.1,70.2,64141108L,082024469080
150,Female,Barcelona,Spain,Daniela,Santos,Marti,78,159.4,52.4,15921260Q,082886955492
151,Female,Barcelona,Spain,Patricia,Lopez,Pascual,87,155,53.4,87030802K,087924852778
152,Female,Barcelona,Spain,Meritxell,Ortega,Moreno,65,158.9,62.8,91420194R,087660627105
153,Female,Barcelona,Spain,Gemma,Ortega,Font,73,156.8,65.1,23626906H,081284983318
154,Female,Barcelona,Spain,Cristina,Vila,Cruz,88,166.3,56.6,85824597M,082680848882
155,Female,Barcelona,Spain,Noelia,Mendez,Ramirez,85,164,61.5,64539934W,085626915001
156,Female,Barcelona,Spain,Isabel,Fernandez,Ramos,54,166.1,58.5,27417260H,082545292594
157,Female,Barcelona,Spain,Martina,Roca,Garcia,87,160.8,73.4,44744599P,082910688362
158,Female,Barcelona,Spain,Irene,Font,Rodriguez,55,156.4,58,40743855E,086706063946
159,Male,Barcelona,Spain,Juan,Delgado,Mendez,23,177.9,84.9,79672445P,081517023381
160,Male,Barcelona,Spain,Manuel,Puig,Roca,58,177.7,81.5,95204767Q,087717051601
161,Female,Barcelona,Spain,Silvia,Medina,Ferrer,32,158,63.5,64232873Z,083552263742
162,Male,Barcelona,Spain,Marc,Puig,Ortega,49,176.3,63.8,64654703R,087916645265
163,Male,Barcelona,Spain,Jose Antonio,Gisbert,Santos,85,183.3,90.7,33304620E,084419292885
164,Male,Barcelona,Spain,Jordi,Ferrer,Gisbert,59,173.9,89.1,75171477W,087753994554
165,Female,Barcelona,Spain,Monica,Serra,Nuñez,60,158.9,60.2,38709879M,085752447953
166,Male,Barcelona,Spain,Gonzalo,Sanchez,Delgado,77,180.7,74.2,31730206G,084840271976
167,Female,Barcelona,Spain,Aina,Ramirez,Soler,75,166.3,82,80110288T,085741761179
168,Male,Barcelona,Spain,Jose Luis,Iglesias,Rubio,31,185,104.2,18555243Q,088791715510
169,Female,Barcelona,Spain,Sonia,Ortega,Cano,46,158.3,71.3,26707990E,087502019674
170,Male,Barcelona,Spain,Antonio,Martinez,Roca,52,164.1,74.5,53683867G,087294274168
171,Female,Barcelona,Spain,Raquel,Ortega,Moreno,77,166.9,63.8,81246939Z,088898641842
172,Female,Barcelona,Spain,Meritxell,Alonso,Delgado,73,160.8,82.5,40741178J,089586035170
173,Male,Barcelona,Spain,Alejandro,Gil,Sanchez,79,180.2,80.7,63927540Y,087036379359
174,Female,Barcelona,Spain,Daniela,Garcia,Navarro,60,150.6,52.7,42474241A,087836446372
175,Male,Barcelona,Spain,Joaquin,Medina,Vidal,25,165.7,69.4,53404272C,083674301664
176,Female,Barcelona,Spain,Claudia,Cabrera,Castro,42,155.1,66.7,57050031A,086199650891
177,Female,Barcelona,Spain,Sara,Ruiz,Ramos,74,148.8,66.5,68118894R,082213566742
178,Male,Barcelona,Spain,Eric,Dalmau,Planellas,27,163.7,82.8,43453419W,085246121289
179,Female,Barcelona,Spain,Gemma,Serrano,Ruiz,40,164.9,66.6,12830660H,087187655711
180,Male,Barcelona,Spain,Bernat,Gutierrez,Rubio,20,162.3,67.9,62334740W,087593875139
181,Female,Barcelona,Spain,Berta,Puig,Ortega,77,163.2,57.3,45903447R,082008773975
182,Male,Barcelona,Spain,Victor,Gutierrez,Cabrera,25,174.5,91.1,51342691K,081671610867
183,Male,Barcelona,Spain,Ivan,Bernat,Sanz,47,184.9,103.8,19006221X,087183980825
184,Female,Barcelona,Spain,Mireia,Font,Martinez,85,158.1,68.2,92121464R,088187487150
185,Female,Barcelona,Spain,Esther,Perez,Delgado,55,160.2,75.1,92884324C,081278224640
186,Male,Barcelona,Spain,Pau,Vidales,Molina,23,167.4,88.5,28112986V,086296246525
187,Female,Barcelona,Spain,Carla,Castillo,Sanchez,88,157,50.8,63931213E,089089494190
188,Male,Barcelona,Spain,Adrian,Morales,Vidal,48,164.3,54.8,43588563K,086635571117
189,Female,Barcelona,Spain,Neus,Mendez,Dominguez,26,163.9,77.6,46128242V,088043951402
190,Female,Barcelona,Spain,Maria,Vidales,Torres,64,158.6,67.8,51129042L,081536459959
191,Male,Barcelona,Spain,Gonzalo,Ruiz,Mendez,75,168.9,73.1,50055413F,087312196536
192,Male,Barcelona,Spain,Bernat,Martinez,Prieto,68,168.5,61.6,38518380G,085149801202
193,Male,Barcelona,Spain,Jose Luis,Perez,Gisbert,46,178.2,87.7,29317367A,084101748837
194,Male,Barcelona,Spain,Joan,Sanchez,Roca,67,176.9,99.1,81920537B,082619367151
195,Female,Barcelona,Spain,Carmen,Mendez,Vazquez,76,168.4,67,74583018K,085690014208
196,Female,Barcelona,Spain,Isabel,Ramirez,Planellas,21,175.3,74.1,51976444D,083083107175
197,Female,Barcelona,Spain,Aina,Morales,Pascual,18,163.6,67.3,90653538G,083097434176
198,Male,Barcelona,Spain,David,Ortiz,Castro,26,170.6,67.6,34329212X,081619745472
199,Female,Barcelona,Spain,Cristina,Garcia,Puig,65,160,63.1,19048947W,082821282149
200,Female,Barcelona,Spain,Helena,Morales,Pascual,66,158.7,51.4,79372490L,082128116614
201,Male,Barcelona,Spain,Pol,Gutierrez,Nuñez,56,179.5,71.5,49856531Y,085054368255
202,Female,Barcelona,Spain,Nuria,Fernandez,Navarro,67,164.8,58.1,94248250T,087378911722
203,Female,Barcelona,Spain,Ines,Medina,Gutierrez,67,164.5,58.1,34037785Q,087018658368
204,Female,Barcelona,Spain,Rosa,Puig,Soler,89,173.2,60.6,35843641G,089956785237
205,Female,Barcelona,Spain,Lucia,Marti,Ramirez,37,156.7,56.2,84834490W,087421907677
206,Male,Barcelona,Spain,Alvaro,Jimenez,Vazquez,43,170.1,81.7,87733692P,084148403615
207,Male,Barcelona,Spain,Raul,Vidales,Soler,78,186,78.6,25752182W,089910234533
208,Male,Barcelona,Spain,Jorge,Dominguez,Ramos,31,165,82.6,92675928G,086908198509
209,Female,Barcelona,Spain,Rosa,Torres,Puig,18,163.7,71.2,11134171D,085860973169
210,Male,Barcelona,Spain,Ivan,Puig,Dalmau,82,172.7,83.8,69164781D,085840833848
211,Male,Barcelona,Spain,Alejandro,Gutierrez,Cruz,68,185,77.4,55923582W,082078775845
212,Male,Barcelona,Spain,Marcos,Morales,Vidal,87,174.3,80.8,40192276Y,084730858303
213,Male,Barcelona,Spain,Ivan,Bernat,Moreno,20,179.3,91,74032941N,089981884490
214,Female,Barcelona,Spain,Martina,Navarro,Navarro,19,154.6,49.6,51715742N,087997741814
215,Male,Barcelona,Spain,Vicente,Vazquez,Lopez,67,182.8,83.2,35934300C,088307686520
216,Male,Barcelona,Spain,Angel,Castillo,Santos,43,184.6,95.2,24792636Q,083145232039
217,Male,Barcelona,Spain,Xavier,Marin,Soler,76,180.3,83.9,30185005N,081766662379
218,Female,Barcelona,Spain,Laura,Ortega,Vidal,76,153,55.3,97417419E,086222107910
219,Female,Barcelona,Spain,Carla,Riera,Suarez,82,164.8,61.3,68761706D,083482513264
220,Male,Barcelona,Spain,Roberto,Gisbert,Castro,52,176.1,84.9,50582751R,082299172171
221,Male,Barcelona,Spain,Oriol,Suarez,Castro,77,170.8,72.6,60720727Z,085649191049
222,Female,Barcelona,Spain,Sonia,Medina,Iglesias,72,160.6,62.1,55571241K,088912426047
223,Male,Barcelona,Spain,Hugo,Lopez,Ortega,51,181.3,100.6,31730685T,082131905674
224,Male,Barcelona,Spain,Pedro,Moreno,Navarro,78,183.7,108,19013980H,089250070115
225,Female,Barcelona,Spain,Claudia,Sanchez,Ferrer,44,156.4,55.8,24107183D,082348222344
226,Male,Barcelona,Spain,Mario,Ferrer,Planellas,54,173.6,89.4,65034132E,086942933603
227,Female,Barcelona,Spain,Ariadna,Rodriguez,Alonso,63,159.4,68,52227764P,084861067261
228,Female,Barcelona,Spain,Andrea,Vidal,Cabrera,69,159.7,63.8,89597001H,084176606565
229,Female,Barcelona,Spain,Irene,Planellas,Gutierrez,48,164.6,67.8,37055741G,087494447412
230,Male,Barcelona,Spain,Guillermo,Font,Ramos,24,177.6,70,84073024C,085809743227
231,Male,Barcelona,Spain,Oscar,Santos,Cruz,31,190.3,74.3,84065954B,086610790849
232,Female,Barcelona,Spain,Alba,Mendez,Vidal,67,161.7,79,95916175B,083821157543
233,Male,Barcelona,Spain,Gonzalo,Sanchez,Fernandez,50,177.5,74.4,37930480F,085568726923
234,Female,Barcelona,Spain,Noelia,Alonso,Castro,57,152,50.5,74971576V,088518534006
235,Male,Barcelona,Spain,Miguel,Serrano,Font,38,178.3,83.7,53307820F,089484565187
236,Female,Barcelona,Spain,Marina,Soler,Fernandez,26,163,77.1,88061730C,085562729087
237,Female,Barcelona,Spain,Gemma,Martinez,Roca,48,155.7,53,71545008N,082801097257
238,Female,Barcelona,Spain,Alba,Vila,Marti,62,160.8,60.1,26102582C,081743103103
239,Female,Barcelona,Spain,Sofia,Sanchez,Ortiz,54,164.4,67.2,29994546Q,081019569187
240,Female,Barcelona,Spain,Lucia,Torres,Martinez,24,161.2,60.1,49238438S,087063361325
241,Male,Barcelona,Spain,Adrian,Prieto,Vidales,40,161,69,22550536W,082119797347
242,Female,Barcelona,Spain,Carla,Perez,Rodriguez,30,161.3,68.4,44834636T,084736198656
243,Female,Barcelona,Spain,Alba,Garcia,Blanco,62,166.4,82.9,88793270E,088673327919
244,Female,Barcelona,Spain,Alba,Gisbert,Ruiz,19,165.3,77.2,28857464P,084157919214
245,Male,Barcelona,Spain,Joaquin,Ramirez,Medina,57,175.3,69,91140665Z,089768518543
246,Male,Barcelona,Spain,Roberto,Molina,Gutierrez,27,173.9,90.6,48383508H,084273706494
247,Female,Barcelona,Spain,Ana,Martinez,Serra,89,163.4,62.9,69855283M,087338784034
248,Male,Barcelona,Spain,Juan,Castillo,Iglesias,43,172,69.8,41810204E,082580217446
249,Male,Barcelona,Spain,Joan,Nuñez,Puig,47,164.3,69.1,39845960R,087664906724
250,Male,Barcelona,Spain,Jose,Ruiz,Fernandez,34,167.2,73.3,48741375M,081229792237
251,Male,Barcelona,Spain,Raul,Ramirez,Cortes,22,170.1,60.9,59157287E,088198560106
252,Female,Barcelona,Spain,Angela,Dalmau,Sanchez,54,160.2,58.4,22495391B,082219172938
253,Male,Barcelona,Spain,Jordi,Sanz,Planellas,67,174.7,87.8,60523016B,088166247988
254,Female,Barcelona,Spain,Aina,Torres,Alonso,89,159.3,69.1,18733985W,087616097839
255,Female,Barcelona,Spain,Rosa,Cabrera,Castillo,69,155.8,69.7,24957279W,081336997849
256,Female,Barcelona,Spain,Montserrat,Ortega,Roca,25,159.7,68.2,44559647E,082055190394
257,Male,Barcelona,Spain,Juan,Mendez,Prieto,39,165.6,75.6,86655982D,087039764962
258,Female,Barcelona,Spain,Laia,Vazquez,Vidales,40,154.7,58.5,85221097W,082932796177
259,Male,Barcelona,Spain,Fernando,Marin,Serra,37,181.8,67.6,21357125S,084214473850
260,Male,Barcelona,Spain,Jose Luis,Serra,Vidal,84,186.8,93.7,39737401W,087424028947
261,Male,Barcelona,Spain,Oriol,Ruiz,Castillo,38,177.7,81.2,78086979R,086041672146
262,Female,Barcelona,Spain,Mireia,Rodriguez,Lopez,72,161.3,64,87901797Y,084293428820
263,Female,Barcelona,Spain,Isabel,Fernandez,Ortega,21,171.5,93.3,70388466W,081928757665
264,Male,Barcelona,Spain,Ramon,Iglesias,Blanco,55,173.5,87.3,34919078H,086951441614
265,Female,Barcelona,Spain,Angela,Serra,Ortega,30,162.8,84.6,38793323M,087098738033
266,Female,Barcelona,Spain,Silvia,Dalmau,Iglesias,33,160.6,65.7,69503769T,084503096946
267,Male,Barcelona,Spain,Bernat,Ruiz,Morales,47,170.8,69.6,57935624G,088344016151
268,Female,Barcelona,Spain,Laia,Ferrer,Fernandez,62,161.2,81.4,29525233H,083747240008
269,Male,Barcelona,Spain,Juan Carlos,Marin,Mendez,71,178.1,64.2,50802329K,083823201415
270,Female,Barcelona,Spain,Nuria,Garcia,Torres,55,159.8,67.1,81639050K,087026974807
271,Male,Barcelona,Spain,Joaquin,Iglesias,Navarro,34,169.3,87.1,91706001X,084667882970
272,Female,Barcelona,Spain,Raquel,Ortiz,Serrano,76,153.4,55.2,11550796N,085673304037
273,Male,Barcelona,Spain,Alejandro,Cortes,Rubio,70,171,92.2,25583619Y,085447927769
274,Male,Barcelona,Spain,Roberto,Alonso,Dominguez,89,179.6,93.9,89197234Z,087116127002
275,Female,Barcelona,Spain,Esther,Martinez,Vidales,47,162.3,79.6,51614855A,087300818941
276,Female,Barcelona,Spain,Helena,Gomez,Dominguez,49,166.1,55.7,33095740M,084054239853
277,Female,Barcelona,Spain,Angela,Martinez,Perez,70,161.6,61.6,96791559S,083452479438
278,Male,Barcelona,Spain,Diego,Gomez,Bernat,32,170,58.3,99369558J,086989256153
279,Male,Barcelona,Spain,Miguel,Ramos,Riera,52,186.1,80.5,31551849N,084004424087
