"Patient_ID","Age","Gender","Year","Genetic_Risk","Air_Pollution","Alcohol_Use","Smoking","Obesity_Level","Cancer_Type","Cancer_Stage","Treatment_Cost_USD","Survival_Years","Target_Severity_Score","Gender_n","Stage_n","City","Country","diagnostico","Dieta_rica_en_grasas_animales","Sedentarismo","Diabetes_tipo_2","Antecedentes_Familiares","Componente_Hereditario","Sindromes_Predisponentes","Enfermedad_Inflamatoria_Intestinal","FOBT_Resultado_n","FOBT_Resultado..Sangre.en.heces.","CEA_Level_ng_mL..Marcador.Tumoral.","nombre","apellido1","apellido2","altura_cm","peso_kg","dni","nuss"
"PT0000325",73,"Other",2024,2.5,1.9,6.5,7.8,3.6,"Colon","Stage II",70825.98,7.5,4.26,2,2,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",11.03,"Elena","Garcia","Garcia",178.2,55.5,"55329051K","085519612890"
"PT0000330",24,"Male",2020,8.3,7,7.2,7.9,6.3,"Colon","Stage IV",63765.04,6.2,6.72,0,4,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",6.31,"Luis","Gomez","Sanchez",165.8,52.1,"77357820B","089323693721"
"PT0000331",87,"Female",2023,2.9,5.6,0.3,4.1,7.3,"Colon","Stage IV",5521.71,2.8,4.9,1,4,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",12.14,"Carmen","Sanchez","Gomez",170.6,51.2,"15143985A","088727821610"
"PT0000341",36,"Male",2016,9.8,9.2,3,9.8,3.5,"Colon","Stage III",37974.08,5,7.34,0,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",13.02,"Juan","Lopez","Perez",153.4,92.3,"55283758S","083056913135"
"PT0000358",83,"Female",2023,4.1,4.5,0,7.2,0.8,"Colon","Stage II",88327.84,6.1,3.25,1,2,"Barcelona","Spain",0,1,1,0,0,0,0,0,1,"Positive",2,"Elena","Lopez","Garcia",165.6,61.5,"94472898F","081843348054"
"PT0000379",53,"Female",2016,4.3,7,8.1,0.4,8.6,"Colon","Stage II",51975.54,3.4,5.03,1,2,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",2.79,"Lucia","Sanchez","Garcia",172.4,71.9,"60775113M","085138099564"
"PT0000382",38,"Male",2019,5.8,0.6,7.2,3.7,8.4,"Colon","Stage I",82896.74,6,4.25,0,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",5.35,"David","Sanchez","Martinez",186.4,73,"50686864Q","084589489590"
"PT0000385",88,"Male",2017,6.4,2.7,7.8,5.2,6.2,"Colon","Stage I",72182.21,2.3,5.07,0,1,"Barcelona","Spain",1,0,0,0,1,0,0,0,1,"Positive",11.21,"Carlos","Garcia","Lopez",153.4,94.7,"26009849T","089675160184"
"PT0000386",23,"Male",2024,6.9,3.6,5.3,7.3,6.3,"Colon","Stage I",99183.52,5,4.82,0,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",15.02,"David","Sanchez","Martinez",172.5,56.9,"66674480X","084859683700"
"PT0000410",65,"Male",2023,5.2,4.5,7.9,7.9,1.5,"Colon","Stage IV",46842.64,2.6,5.69,0,4,"Barcelona","Spain",1,1,1,0,0,0,1,0,0,"Negative",1.12,"Carlos","Gomez","Lopez",186.9,76.5,"87976064Y","085181050154"
"PT0000413",27,"Other",2015,0.9,8.7,2.6,9.3,9.4,"Colon","Stage III",54265.67,9.6,5.59,2,3,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",11.88,"Elena","Gomez","Garcia",187,61.3,"25712776H","084875229665"
"PT0000419",48,"Other",2016,3,2.5,9.7,5.8,4.3,"Colon","Stage I",49038.85,9.9,5.04,2,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",4.83,"Maria","Lopez","Perez",133.7,59.3,"92032885H","086771511866"
"PT0000420",55,"Other",2019,6.8,3.5,8.8,3.9,1.2,"Colon","Stage 0",50170.64,4,5.1,2,0,"Barcelona","Spain",1,0,0,0,0,1,0,0,1,"Positive",1.62,"Ana","Gomez","Gomez",159.6,85.1,"44117875B","089075700689"
"PT0000421",40,"Female",2015,7.9,8.3,7.9,7.3,2.5,"Colon","Stage 0",5795.72,2.9,7.6,1,0,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",11.33,"Lucia","Martinez","Lopez",180.8,42.9,"62917162H","089918607350"
"PT0000422",55,"Other",2022,9.5,7.2,0.3,1.1,8.2,"Colon","Stage IV",50212.36,9.2,5.06,2,4,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",3.03,"Carmen","Perez","Garcia",166,70.1,"87770476S","087807919884"
"PT0000435",42,"Female",2020,3.4,6.3,6.8,8.1,3,"Colon","Stage IV",37495.07,0.9,5.82,1,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",2.91,"Lucia","Martinez","Sanchez",176.7,57.3,"26480736P","084813803710"
"PT0000438",81,"Male",2018,9.9,9.7,4.1,7.1,2.6,"Colon","Stage IV",22343.01,1.3,7.28,0,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",18.38,"Luis","Lopez","Garcia",136.2,74.5,"79109599H","089608673960"
"PT0000446",28,"Other",2024,10,2.6,9.1,6.1,0.3,"Colon","Stage III",85199.4,9,5.3,2,3,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",1.75,"Laura","Martinez","Garcia",162.9,45,"52156389W","085472661860"
"PT0000447",47,"Other",2020,9.9,6.7,5.8,3.4,6,"Colon","Stage 0",42968.18,3.6,6.28,2,0,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",3.71,"Ana","Martinez","Garcia",166.2,31.7,"49071030R","084705161484"
"PT0000448",71,"Other",2019,8.5,5.2,8.9,5.4,2.6,"Colon","Stage IV",13451.69,2,6.89,2,4,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",8.21,"Carmen","Gomez","Lopez",143.3,62.2,"47237156D","081002129702"
"PT0000460",61,"Other",2019,8.5,6.1,6.9,3.1,9.5,"Colon","Stage III",36759.53,6.8,6.48,2,3,"Barcelona","Spain",1,0,0,0,0,0,0,0,0,"Negative",5.61,"Ana","Martinez","Martinez",171,46.7,"70769837X","085688319233"
"PT0000464",24,"Male",2022,6.9,2.6,9.3,8.7,5.4,"Colon","Stage 0",87490.76,5.3,5.7,0,0,"Barcelona","Spain",1,0,0,0,1,0,0,0,0,"Negative",9.7,"Carlos","Gomez","Lopez",149.6,54.5,"87510007K","089016435612"
"PT0000468",77,"Male",2021,7.5,5.2,0.3,9.1,3.9,"Colon","Stage III",91604.31,5.3,4.7,0,3,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",10.38,"Carlos","Lopez","Gomez",189.7,86.9,"93402821M","085140955610"
"PT0000470",26,"Other",2019,6.8,1,3.4,6.6,4.4,"Colon","Stage IV",29003.97,7.7,5.2,2,4,"Barcelona","Spain",1,0,1,0,0,0,1,0,1,"Positive",4.46,"Carmen","Sanchez","Garcia",153.5,62.7,"85341096X","086079803351"
"PT0000479",24,"Female",2016,1.4,0.8,7.6,8.4,9.7,"Colon","Stage III",83717.74,3,4.52,1,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",17,"Lucia","Perez","Martinez",185.8,66,"66120941N","089973564924"
"PT0000493",73,"Male",2018,3.6,5.1,0.5,8.9,4.3,"Colon","Stage I",45778.27,0.7,4.85,0,1,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",2.23,"David","Gomez","Martinez",139.9,66.8,"82975664J","085529942481"
"PT0000496",58,"Other",2017,2.5,5.3,5.4,6.7,9.1,"Colon","Stage II",26560.01,7.4,5.82,2,2,"Barcelona","Spain",1,1,0,1,0,0,0,0,1,"Positive",7.3,"Lucia","Sanchez","Lopez",142,85.2,"34685688D","083869605811"
"PT0000503",58,"Other",2021,6.3,1.2,6.7,1.1,3.3,"Colon","Stage IV",13124.65,2.1,4.73,2,4,"Barcelona","Spain",1,0,0,0,0,0,0,0,0,"Negative",7.88,"Laura","Sanchez","Martinez",152,54.9,"47175648A","089278730076"
"PT0000515",64,"Male",2017,3.4,8.5,2.7,1.1,1.2,"Colon","Stage 0",63026.5,4.5,3.44,0,0,"Barcelona","Spain",0,0,1,0,1,0,0,0,0,"Negative",1.65,"Javier","Gomez","Garcia",179.2,97.2,"41728876E","084911942953"
"PT0000519",66,"Female",2019,6.3,2,4,1.9,4.8,"Colon","Stage I",93532.15,4.3,3.15,1,1,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",1.88,"Lucia","Garcia","Garcia",188.3,81.8,"49505771L","085608708101"
"PT0000528",33,"Other",2024,9.1,3.5,4.8,6.2,7.6,"Colon","Stage I",39336.69,9.3,6.28,2,1,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",11.45,"Carmen","Martinez","Lopez",158.9,78.6,"35017690Y","088819051726"
"PT0000529",34,"Female",2017,6.3,3.6,2,6.1,2.8,"Colon","Stage III",65120.81,1.8,4.3,1,3,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",8.22,"Carmen","Gomez","Garcia",139.7,39.7,"36547718M","089140006740"
"PT0000534",35,"Male",2021,2.9,9,1.1,9.1,7.1,"Colon","Stage II",71088.11,1,5.2,0,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",12.81,"Javier","Garcia","Garcia",141.3,67.5,"38987549L","085078008569"
"PT0000536",31,"Female",2022,6.8,7.6,4,6.3,3.9,"Colon","Stage III",86317.39,0.9,5.02,1,3,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",2.84,"Ana","Garcia","Lopez",170.9,36.9,"97863002A","081287825620"
"PT0000552",52,"Other",2017,6.7,5,1.6,9.8,6.7,"Colon","Stage I",15828.44,8.4,6.64,2,1,"Barcelona","Spain",1,0,0,0,1,0,0,0,1,"Positive",9.28,"Carmen","Martinez","Martinez",195.2,74.4,"45031099C","083191996547"
"PT0000560",44,"Male",2015,3,7.6,7.5,0.8,1.3,"Colon","Stage 0",60057.6,3.8,3.95,0,0,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",3.39,"David","Lopez","Lopez",177.6,71.3,"39501207H","086759939059"
"PT0000562",29,"Male",2015,4.6,0.5,4.7,0.9,4.7,"Colon","Stage 0",73519.25,5.2,2.88,0,0,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.52,"Juan","Sanchez","Sanchez",195.6,84.2,"13740004B","084719861331"
"PT0000592",23,"Female",2020,6,9.7,3.1,8.6,4.8,"Colon","Stage II",59902.6,4.5,6.12,1,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",7.33,"Elena","Sanchez","Perez",154.9,60.5,"15679485V","083435981354"
"PT0000595",51,"Female",2015,5.3,0.2,9.9,3.7,7.4,"Colon","Stage II",92405.05,8,4.21,1,2,"Barcelona","Spain",1,0,0,1,0,0,0,0,0,"Negative",8.07,"Laura","Garcia","Perez",162.2,71.8,"10834358R","088303762060"
"PT0000597",58,"Other",2018,1.1,7.2,8.4,6,1.3,"Colon","Stage II",11955.97,4.5,5.65,2,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",9.31,"Ana","Garcia","Sanchez",156.3,51.3,"82927319Z","082416755369"
"PT0000601",22,"Other",2015,4.9,7.2,8.5,7.8,6.8,"Colon","Stage II",24374.26,9.8,7.09,2,2,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",9.32,"Elena","Perez","Sanchez",176.1,82.2,"33457599M","089780644048"
"PT0000602",69,"Other",2017,7.6,8,5.5,5.9,1,"Colon","Stage 0",22290.98,2,6.38,2,0,"Barcelona","Spain",1,0,1,0,0,0,1,0,1,"Positive",11.56,"Carmen","Martinez","Lopez",174.7,67.6,"77323401T","085108276714"
"PT0000606",24,"Female",2023,1.5,2.7,2.7,9,9.3,"Colon","Stage 0",89344.65,9.3,4.05,1,0,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",11.42,"Lucia","Martinez","Gomez",171.3,58.1,"10641883J","081172027424"
"PT0000607",76,"Female",2024,7.5,2.3,8.2,2.4,9,"Colon","Stage II",82164.59,6.1,4.81,1,2,"Barcelona","Spain",1,0,0,0,0,0,0,1,1,"Positive",7.56,"Laura","Martinez","Sanchez",166.1,76.7,"61645318M","088136393917"
"PT0000608",36,"Other",2024,0.2,5.5,9,6.8,0,"Colon","Stage II",49918.45,10,4.58,2,2,"Barcelona","Spain",1,1,1,0,0,1,0,0,1,"Positive",9.39,"Laura","Lopez","Gomez",171.1,26.3,"83350793N","089050882433"
"PT0000611",33,"Female",2020,1.2,9.2,0.7,5.5,1.8,"Colon","Stage I",82298.72,6,3.36,1,1,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",2.23,"Maria","Sanchez","Perez",155.4,56.5,"60378018M","081275637669"
"PT0000615",83,"Male",2023,9.8,8.7,1.1,6.5,4.3,"Colon","Stage I",81400.96,0.1,5.53,0,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",1.61,"Javier","Martinez","Perez",186.9,59.4,"61270469X","082928424410"
"PT0000617",69,"Male",2021,8.8,3,8.5,7.8,1.4,"Colon","Stage I",8564.58,3.7,7.01,0,1,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",13.81,"Carlos","Perez","Sanchez",152.7,76.7,"12364327X","083404126756"
"PT0000628",29,"Female",2024,4.8,0.4,5.1,4.9,4,"Colon","Stage 0",52656.71,7.1,4.11,1,0,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",14.81,"Carmen","Perez","Martinez",149.4,85.1,"77008501Q","085755888625"
"PT0000629",75,"Other",2024,9,4.5,0.4,3.4,5.8,"Colon","Stage II",59250.86,4.4,4.61,2,2,"Barcelona","Spain",1,1,0,1,1,0,1,0,0,"Negative",9.37,"Laura","Garcia","Gomez",152.5,59.5,"97077856P","086279726415"
"PT0000637",62,"Female",2018,2.6,8.4,3.4,2.2,3.9,"Colon","Stage III",90086.74,6.4,3.32,1,3,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",3.27,"Carmen","Martinez","Lopez",201,53.3,"29783022T","084358378606"
"PT0000652",70,"Other",2015,6.8,6.3,8.2,4.2,8,"Colon","Stage IV",83289.73,0.6,5.51,2,4,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",6.28,"Maria","Lopez","Gomez",176.4,72.4,"55765066W","087110505547"
"PT0000655",24,"Male",2022,1.9,1.3,3.5,0.9,6,"Colon","Stage IV",83972.55,1.3,2.2,0,4,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.73,"Carlos","Garcia","Martinez",176.3,68.5,"79615127Y","088042721017"
"PT0000662",24,"Female",2016,6.3,4.2,8.3,0.8,7.8,"Colon","Stage 0",30724.56,3,5.46,1,0,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",5.56,"Lucia","Perez","Garcia",172.9,53,"97654466P","082951312871"
"PT0000674",80,"Other",2015,4.8,2.8,9.9,3.6,1.2,"Colon","Stage III",6555.61,9.6,5.57,2,3,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",5.38,"Maria","Martinez","Martinez",147.1,56.5,"15791178E","083743130238"
"PT0000677",20,"Other",2017,8.7,7.6,8.3,3.6,2.4,"Colon","Stage III",44088.54,4.4,6.2,2,3,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",0.1,"Elena","Sanchez","Sanchez",193.9,70.1,"47115498K","088549282804"
"PT0000686",33,"Male",2022,7.2,9.2,3.8,5,0.6,"Colon","Stage I",78185.44,8.4,4.89,0,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",11.01,"Carlos","Perez","Martinez",180.2,65.9,"45553786D","084471417352"
"PT0000688",75,"Female",2022,5.1,8.3,3.8,8.2,5.8,"Colon","Stage 0",51702.88,0.3,6.02,1,0,"Barcelona","Spain",1,1,0,1,0,0,0,0,1,"Positive",14.62,"Lucia","Gomez","Martinez",180.2,60.4,"52254879Y","086723341565"
"PT0000693",57,"Other",2016,0.3,8,1.5,3.4,7.7,"Colon","Stage IV",83031.4,2.9,3.27,2,4,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",1.19,"Elena","Gomez","Perez",155.9,68.3,"93007615P","085076489814"
"PT0000700",63,"Other",2023,3.5,9.4,2.4,3.7,5.7,"Colon","Stage 0",39992.89,6.2,4.98,2,0,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",6.37,"Carmen","Gomez","Lopez",194.5,76.6,"50730592K","082020792376"
"PT0000723",72,"Male",2016,4,8,1.1,2.1,5.4,"Colon","Stage IV",89631.73,3.5,3.33,0,4,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",3.25,"Javier","Sanchez","Garcia",194.6,44,"16191363F","089469228578"
"PT0000740",85,"Female",2022,8.3,2.1,3.3,5.1,1.5,"Colon","Stage IV",78861.57,2,4.06,1,4,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",10.39,"Maria","Sanchez","Garcia",142.3,56.5,"40933713S","086977549162"
"PT0000747",27,"Female",2016,0.6,4.6,2.6,6.4,9.2,"Colon","Stage I",49436.78,7.5,4.41,1,1,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",9.79,"Carmen","Martinez","Sanchez",156.2,67.6,"57722925D","083179950561"
"PT0000752",24,"Other",2016,1.1,3,9.9,5.3,0.2,"Colon","Stage II",90747.08,1.4,3.42,2,2,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",1.98,"Laura","Garcia","Lopez",177.6,66.2,"66608262D","089745207423"
"PT0000757",39,"Male",2024,3.4,0.2,7.1,0.8,6.5,"Colon","Stage IV",22793.07,2.5,4.13,0,4,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",7.94,"Juan","Perez","Gomez",171.1,99.4,"62974268S","087742079318"
"PT0000776",32,"Other",2018,9.7,7.3,8.3,9.9,9.4,"Colon","Stage IV",30436.89,9.6,8.59,2,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",11.1,"Lucia","Sanchez","Gomez",180.8,65.3,"73286188T","082050678480"
"PT0000778",21,"Female",2017,5.2,4.2,2.4,0.6,1.2,"Colon","Stage II",33563.76,8.6,3.6,1,2,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.35,"Elena","Garcia","Perez",152.7,80.6,"13123286S","089524515548"
"PT0000779",84,"Female",2024,8.1,3.9,5.1,3,1.3,"Colon","Stage 0",78625.17,9.1,4.13,1,0,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",10.95,"Lucia","Garcia","Martinez",166.1,83.5,"76501273F","081052291533"
"PT0000784",43,"Other",2023,4,7.9,4.7,1.3,5.3,"Colon","Stage 0",14858.91,6.9,5.18,2,0,"Barcelona","Spain",1,1,1,0,1,0,0,0,0,"Negative",13.83,"Lucia","Perez","Martinez",139.4,51.2,"76014654E","085679672085"
